Date,Nifty50,Nifty_Return,P_Crash_HMM,P_Crash_MS,P_Crash_BNN,Ensemble_Crash_Prob,Tactical_Position,Strategy_Return,Equity_Benchmark_Cum,Regime_Strategy_Cum
2016-01-13,66.91999816894531,0.0019013804254905,6.561527603736582e-190,0.0806055320299572,0.5277859589832404,0.2393263198037812,1.0,0.0,1.0019013804254906,1.0
2016-01-14,66.93599700927734,0.0002390741298534,1.167902965435918e-107,0.0805181533638302,0.41859182803129,0.19561808488985657,1.0,0.0002390741298534,1.0021409091262148,1.0002390741298535
2016-01-15,67.30400085449219,0.0054978466244977,3.587812009991436e-106,0.0988933385054992,0.11211956697337176,0.07946049526627341,1.0,0.0054978466244977,1.0076505261407254,1.005738235147249
2016-01-18,67.76699829101562,0.0068791963426426,5.941590000383001e-107,0.0968961920958715,0.09547047345022189,0.07210185661364378,1.0,0.0068791963426426,1.0145823519548145,1.01265690593613
2016-01-19,67.71099853515625,-0.0008263573313206,3.0175723788518016e-107,0.054622446948411,0.5591806662896733,0.24279012294781321,1.0,-0.0008263573313206,1.013743944390048,1.0118200894777971
2016-01-20,67.76699829101562,0.0008270407625181,5.1986131566322244e-108,0.0365465052866596,0.6329284623523023,0.2659626617912518,1.0,0.0008270407625181,1.0145823519548145,1.0126569059361301
2016-01-21,67.9489974975586,0.002685661326792,5.447330748578794e-107,0.0299577414896339,0.711473694413697,0.2950746872868507,1.0,0.002685661326792,1.0173071765403052,1.0153765594257116
2016-01-22,67.80799865722656,-0.0020750687357395,1.491149044728099e-107,0.0266764249381513,0.6583054246240868,0.2726589185779877,1.0,-0.0020750687357395,1.015196194223623,1.0132695832722445
2016-01-25,67.54100036621094,-0.0039375633598229,1.8547916826340407e-106,0.0276034169441334,0.2918226763191733,0.12639026645811602,1.0,-0.0039375633598229,1.0111987948862164,1.0092797700875287
2016-01-27,67.7699966430664,0.000428091255856,4.230128617974401e-107,0.0276665523144885,0.5791701867661936,0.2413513680165484,1.0,0.000428091255856,1.0116316802482395,1.0097118339318156
2016-01-28,68.19599914550781,0.0062860044790187,3.3360575030819337e-106,0.0347170772217597,0.17792932674242837,0.08332270772458723,1.0,0.0062860044790187,1.0179908015213972,1.0160588870424292
