Date,Nifty50,IndiaVIX,USDINR,Nifty_Return
2015-01-02,63.02799987792969,13.800000190734863,8395.4501953125,0.0
2015-01-05,63.27799987792969,14.149999618530273,8378.400390625,0.003966491091010216
2015-01-06,63.3380012512207,17.420000076293945,8127.35009765625,0.0009482185499978257
2015-01-07,63.56800079345703,18.139999389648438,8102.10009765625,0.00363130407800627
2015-01-08,63.27299880981445,16.469999313354492,8234.599609375,-0.00464073087025485
2015-01-09,62.667999267578125,15.960000038146973,8284.5,-0.009561733339916945
2015-01-12,62.347999572753906,16.110000610351562,8323.0,-0.005106269524544627
2015-01-13,62.06800079345703,16.479999542236328,8299.400390625,-0.004490902374023165
2015-01-14,61.972999572753906,17.25,8277.5498046875,-0.0015305990121908808
2015-01-15,62.0880012512207,16.15999984741211,8494.150390625,0.0018556739105679565
2015-01-16,62.05799865722656,17.270000457763672,8513.7998046875,-0.00048322692612934315
2015-01-19,61.862998962402344,17.649999618530273,8550.7001953125,-0.003142216942916387
2015-01-20,61.63800048828125,17.270000457763672,8695.599609375,-0.0036370444028721582
2015-01-21,61.64799880981445,17.709999084472656,8729.5,0.00016221034838892479
2015-01-22,61.553001403808594,18.56999969482422,8761.400390625,-0.0015409649597698527
2015-01-23,61.597999572753906,17.889999389648438,8835.599609375,0.0007310475187085608
2015-01-27,61.472999572753906,18.09000015258789,8910.5,0.000651130766878838
2015-01-28,61.40299987792969,19.770000457763672,8914.2998046875,-0.0011387063476766546
2015-01-29,61.35100173950195,19.43000030517578,8952.349609375,-0.0008468338441298684
2015-01-30,61.79600143432617,20.170000076293945,8808.900390625,0.007253340323825519
2015-02-02,62.01300048828125,20.40999984741211,8797.400390625,0.0035115387552331345
2015-02-03,61.72800064086914,19.809999465942383,8756.5498046875,-0.004595808059085438
2015-02-04,61.61399841308594,20.049999237060547,8723.7001953125,-0.0018468478907402996
2015-02-05,61.86000061035156,20.6200008392334,8711.7001953125,0.0039926348492485
2015-02-06,61.733001708984375,20.690000534057617,8661.0498046875,-0.0020530051748162137
2015-02-09,61.9630012512207,22.020000457763672,8526.349609375,0.0037257145427751492
2015-02-10,62.130001068115234,21.190000534057617,8565.5498046875,0.00269515377761409
2015-02-11,62.34199905395508,20.5,8627.400390625,0.0034121677481933066
2015-02-12,62.38199996948242,20.15999984741211,8711.5498046875,0.0006416367157673353
2015-02-13,62.16999816894531,20.100000381469727,8805.5,-0.0033984450745538908
2015-02-16,62.069000244140625,20.829999923706055,8809.349609375,-0.0016245444391075337
2015-02-18,62.11199951171875,20.90999984741211,8869.099609375,-0.0011899995380846295
2015-02-19,62.07400131225586,20.399999618530273,8895.2998046875,-0.0006117690585009106
2015-02-20,62.165000915527344,21.270000457763672,8833.599609375,0.0014659857806447185
2015-02-23,62.10100173950195,21.6299991607666,8754.9501953125,-0.0010295049478460383
2015-02-24,62.17100143432617,21.549999237060547,8762.099609375,0.0011271910736294632
2015-02-25,62.233001708984375,20.780000686645508,8767.25,0.0009972539162601546
2015-02-26,61.87699890136719,20.579999923706055,8683.849609375,-0.0057204826674107645
2015-02-27,61.75400161743164,19.56999969482422,8844.599609375,-0.0019877706760085267
2015-03-02,61.6510009765625,15.850000381469727,8956.75,-0.001667918485788733
2015-03-03,61.9010009765625,15.489999771118164,8996.25,0.004055084200417891
2015-03-04,61.8129997253418,15.199999809265137,8922.650390625,-0.0014216450434141326
