Date,Nifty50,IndiaVIX,USDINR,Nifty_Return,ret_1d,ret_5d,ret_21d,ret_63d,ma_50,ma_200,ma_50_200_ratio,above_200dma,vol_21d,vol_63d,vol_ratio,vix_level,vix_change_5d,vix_zscore,inr_change_21d,BNN_Dominant_Regime,BNN_Epistemic_Uncertainty
2016-01-13,66.91999816894531,18.350000381469727,7562.39990234375,0.0019013804254905,0.0019013804254905,0.0059526799560614,0.0020063344100116,0.0305054757078064,66.3368002319336,64.73144012451172,0.0248003150298208,1,0.047341954639866,0.044968850286525,1.0527487714152275,18.350000381469727,0.1087614034675255,0.2430774558291941,-0.0063137254348429,3,0.082001925
2016-01-14,66.93599700927734,18.61000061035156,7536.7998046875,0.0002390741298534,0.0002390741298534,0.0031772374099665,-0.0030533032661935,0.0298637461446584,66.37660018920899,64.75370510101318,0.0250625826840973,1,0.043898604332111,0.0449752368663853,0.9760399577786876,18.61000061035156,-0.018459836024345,0.3282936264492221,-0.0148038251895572,2,0.06503647
2016-01-15,67.30400085449219,19.420000076293945,7437.7998046875,0.0054978466244977,0.0054978466244977,0.0057232146633592,0.0034739561353318,0.0390909275087409,66.41380020141601,64.778210105896,0.0252490782447714,1,0.0472814968745141,0.0452193995939392,1.04557892674728,19.420000076293945,0.0910112870039046,0.6060898845828873,-0.0341648509904896,4,0.017419979
2016-01-18,67.76699829101562,20.229999542236328,7351.0,0.0068791963426426,0.0068791963426426,0.0138689707348098,0.0129141953972524,0.0460776252233807,66.46084014892578,64.8059300994873,0.0255363983959173,1,0.0507826257443925,0.0468011237024468,1.0850496030319587,20.229999542236328,0.0823969483239162,0.8851771258780027,-0.0515939964884369,4,0.014833215
2016-01-19,67.71099853515625,18.43000030517578,7435.10009765625,-0.0008263573313206,-0.0008263573313206,0.0137439443900482,0.0193141010452573,0.0403472303544993,66.50424011230469,64.83309509277343,0.0257761104439007,1,0.0421564232095324,0.0462909733965926,0.9106637742221516,18.43000030517578,-0.0149651947086006,0.2537852234875425,-0.0521713073620052,1,0.08687971
2016-01-20,67.76699829101562,20.96999931335449,7309.2998046875,0.0008270407625181,0.0008270407625181,0.0126569059361296,0.0196812871760643,0.0449968281935009,66.5489601135254,64.85962007522583,0.0260460982710077,1,0.0420896688246292,0.045400681976103,0.9270508710840928,20.96999931335449,0.1427792303770467,1.1353076712369192,-0.0583165801422378,3,0.09833788
2016-01-21,67.9489974975586,20.809999465942383,7276.7998046875,0.002685661326792,0.002685661326792,0.0151338671797305,0.02567619204681,0.0488546721800302,66.59624008178712,64.88522006988525,0.0263699500450025,1,0.0390712380804263,0.0453747363846697,0.8610601434476475,20.809999465942383,0.118215947524854,1.070971058928563,-0.0711792629632968,4,0.110541426
2016-01-22,67.80799865722656,18.81999969482422,7422.4501953125,-0.0020750687357395,-0.0020750687357395,0.0074883780508678,0.0232235514350087,0.0481180767769815,66.6352000427246,64.91168506622314,0.026551690573787,1,0.0408628598006346,0.045542056916144,0.8972357713245558,18.81999969482422,-0.0308960030439005,0.3724506168980567,-0.0467050124944085,1,0.10228069
2016-01-25,67.54100036621094,18.270000457763672,7436.14990234375,-0.0039375633598229,-0.0039375633598229,-0.0033349260038665,0.0195945869682843,0.0398762776690519,66.66335998535156,64.93684507369996,0.0265876007633585,1,0.0445452590920081,0.0461481675211595,0.9652451275872757,18.270000457763672,-0.0968857700851923,0.1778980710880316,-0.0546406069574249,0,0.04534039
2016-01-27,67.7699966430664,19.059999465942383,7437.75,0.000428091255856,0.000428091255856,0.0008713223728271,0.0244278098203227,0.0427115303934995,66.68939987182617,64.96416505813599,0.0265567149542562,1,0.043648840646194,0.0461536518212731,0.9457083722615346,19.059999465942383,0.0341833505336228,0.4512940612793055,-0.0538477449201617,2,0.089985475
2016-01-28,68.19599914550781,17.899999618530273,7424.64990234375,0.0062860044790187,0.0062860044790187,0.0063305276212752,0.0342128695871102,0.0483627355289568,66.73235992431641,64.99484504699707,0.0267331182351917,1,0.0465262182019458,0.0471481139873707,0.9867888124983288,17.899999618530273,-0.1463996087433882,0.0436928738684779,-0.0631533795785975,4,0.027644819
2016-01-29,68.09300231933594,17.239999771118164,7563.5498046875,-0.001510305992469,-0.001510305992469,0.0021193075259502,0.02962167046056,0.0494413204513741,66.77319992065429,65.02501005172729,0.0268848842550937,1,0.0475197744499587,0.0468848772739558,1.0135200024582882,17.239999771118164,-0.1715521281327697,-0.186963105338449,-0.0460843341960982,1,0.06494003
2016-02-01,67.87000274658203,17.889999389648438,7555.9501953125,-0.0032749264264791,-0.0032749264264791,0.0009144067157755,0.0242982275648195,0.0457466252499205,66.81265991210938,65.05281507492066,0.0270525546844042,1,0.0501971645639193,0.0476233933857647,1.0540221301574348,17.889999389648438,-0.0494155324259407,0.0399057900218804,-0.0430963817872407,0,0.068754375
2016-02-02,67.88200378417969,18.040000915527344,7455.5498046875,0.0001768238855457,0.0001768238855457,0.0050488357607942,0.0214732061365794,0.0432631346660159,66.84955993652343,65.08131509780884,0.0271697773171477,1,0.0498978889409547,0.0475236901081815,1.0499361243044616,18.040000915527344,-0.012588918252522,0.0912737055767205,-0.0617642423171752,2,0.06528652
2016-02-03,67.98600006103516,18.59000015258789,7361.7998046875,0.0015320154246787,0.0015320154246787,0.0031873015887311,0.0270874449879201,0.0468081322256108,66.8877799987793,65.1096751022339,0.0273093805759814,1,0.049768220406136,0.0472184233470462,1.0539777252330464,18.59000015258789,-0.0246589363338817,0.2822647986937857,-0.0551255901796512,3,0.05449754
2016-02-04,67.927001953125,18.209999084472656,7404.0,-0.0008677978974669,-0.0008677978974669,-0.0039444717542573,0.0199096720715419,0.0379408608844427,66.92462005615235,65.13796510696412,0.0274287805315123,1,0.0466852645018269,0.0453017121245097,1.030518092901754,18.209999084472656,0.0173184062876441,0.1499688119106049,-0.0488974979117746,1,0.084115736
2016-02-05,67.56400299072266,18.11000061035156,7489.10009765625,-0.005343956776612,-0.005343956776612,-0.0077687766818157,0.0156334688696537,0.0328518236661097,66.95490005493164,65.16383512496948,0.0274855665957551,1,0.0509574400574962,0.0468712101994814,1.0871567575036196,18.11000061035156,0.0504640864723728,0.1147075454352936,-0.0325410027572342,0,0.013901862
2016-02-08,67.802001953125,20.26000022888184,7387.25,0.0035225704793575,0.0035225704793575,-0.0010019270768403,0.0161561498930669,0.0344975141404724,66.98352005004882,65.19121513366699,0.0274930435443936,1,0.0512944554995496,0.0471490424340285,1.087898395241527,20.26000022888184,0.1324762951420075,0.8619265970874819,-0.0239221237741354,4,0.0656093
2016-02-09,68.07599639892578,21.729999542236328,7298.2001953125,0.0040410966919561,0.0040410966919561,0.0028577915195735,0.0172591386915921,0.0388365542672441,67.01739990234375,65.21888011932373,0.0275766738056444,1,0.0520492508471585,0.0475761665048053,1.0939964413791126,21.729999542236328,0.2045453680400282,1.3684288914989586,-0.0398810603970498,4,0.034294266
2016-02-10,67.9280014038086,22.46999931335449,7215.7001953125,-0.0021739673739027,-0.0021739673739027,-0.000853097066668,0.0162777547206596,0.0357246680192551,67.04479995727539,65.24279512405396,0.0276199820960316,1,0.0525942372791929,0.0479440464682477,1.0969691585140962,22.46999931335449,0.2087143157030295,1.614348345247641,-0.046028133536336,0,0.109975174
2016-02-11,67.89299774169922,25.96999931335449,6976.35009765625,-0.0005153053436872,-0.0005153053436872,-0.000500599326454,0.0164687689755389,0.0308684651155031,67.0646598815918,65.2678701210022,0.0275294682859799,1,0.0525380874922592,0.047489600706742,1.1062839111403495,25.96999931335449,0.4261395177937515,2.778782773354023,-0.0710956580851791,1,0.111229315
2016-02-12,68.4739990234375,24.670000076293945,6980.9501953125,0.0085576024194529,0.0085576024194529,0.0134686518328375,0.0232217707264272,0.0353982984903991,67.10397979736328,65.29556510925293,0.0276958271987461,1,0.0591868420043866,0.0495766846209177,1.1938202128022462,24.670000076293945,0.3622307700085185,2.3076816008466623,-0.0768869293530809,4,0.01175628
2016-02-15,68.11100006103516,22.3799991607666,7162.9501953125,-0.0053012671609569,-0.0053012671609569,0.0045573596502914,0.0175541278871957,0.0247186267733108,67.13697982788086,65.31968511581421,0.0278215473458656,1,0.0630237953913516,0.0502302267939469,1.254673624633556,22.3799991607666,0.1046396302040795,1.5235653382318617,-0.0496032293630096,0,0.028878665
2016-02-16,68.13700103759766,23.040000915527344,7048.25,0.0003817441608433,0.0003817441608433,0.0008961255346802,0.012376681512684,0.0316285826465225,67.16857986450195,65.34209512710571,0.0279526503373255,1,0.060555416052302,0.0502055152482013,1.206126650155656,23.040000915527344,0.0602853843022308,1.7334424894112583,-0.0523743331249646,2,0.08230085
2016-02-17,68.50599670410156,21.82999992370605,7108.4501953125,0.0054154961457768,0.0054154961457768,0.0085089401770706,0.0109049896221227,0.0371681595834887,67.20263977050782,65.36892511367797,0.0280517792458874,1,0.0587843307829167,0.0511121732356879,1.1500818098664356,21.82999992370605,-0.0284823947132063,1.3235516694263314,-0.0329954842453408,4,0.022194382
2016-02-18,68.35600280761719,21.489999771118164,7191.75,-0.0021895002437851,-0.0021895002437851,0.0068196291417192,0.0095258419815806,0.0373158036838567,67.23703979492187,65.39554012298584,0.0281594076365578,1,0.0593246423104829,0.051079067164401,1.161404939416912,21.489999771118164,-0.17250672547891,1.2072628211369998,-0.0327299020134188,0,0.10417397
