Date,Nifty50,IndiaVIX,USDINR,Nifty_Return,ret_1d,ret_5d,ret_21d,ret_63d,ma_50,ma_200,ma_50_200_ratio,above_200dma,vol_21d,vol_63d,vol_ratio,vix_level,vix_change_5d,vix_zscore,inr_change_21d
2016-01-13,66.91999816894531,18.350000381469727,7562.39990234375,0.0019013804254905,0.0019013804254905,0.005952679956061413,0.0020063344100116343,0.030505475707806484,66.3368002319336,64.73144012451172,0.02480031502982083,1,0.047341954639866006,0.04496885028652509,1.0527487714152275,18.350000381469727,0.1087614034675255,0.24307745582919413,-0.006313725434842987
2016-01-14,66.93599700927734,18.61000061035156,7536.7998046875,0.0002390741298534,0.0002390741298534,0.00317723740996656,-0.0030533032661935744,0.029863746144658476,66.37660018920899,64.75370510101318,0.025062582684097334,1,0.04389860433211102,0.044975236866385354,0.9760399577786877,18.61000061035156,-0.01845983602434509,0.32829362644922216,-0.014803825189557251
2016-01-15,67.30400085449219,19.420000076293945,7437.7998046875,0.0054978466244977,0.0054978466244977,0.005723214663359233,0.003473956135331857,0.03909092750874099,66.41380020141601,64.778210105896,0.025249078244771406,1,0.04728149687451411,0.04521939959393923,1.04557892674728,19.420000076293945,0.0910112870039046,0.6060898845828873,-0.034164850990489604
2016-01-18,67.76699829101562,20.229999542236328,7351.0,0.0068791963426426,0.0068791963426426,0.01386897073480986,0.01291419539725247,0.04607762522338077,66.46084014892578,64.8059300994873,0.02553639839591737,1,0.05078262574439258,0.046801123702446844,1.0850496030319587,20.229999542236328,0.0823969483239162,0.8851771258780027,-0.05159399648843699
2016-01-19,67.71099853515625,18.43000030517578,7435.10009765625,-0.0008263573313206,-0.0008263573313206,0.013743944390048224,0.019314101045257326,0.040347230354499386,66.50424011230469,64.83309509277343,0.025776110443900713,1,0.04215642320953245,0.046290973396592605,0.9106637742221515,18.43000030517578,-0.014965194708600693,0.25378522348754257,-0.05217130736200526
2016-01-20,67.76699829101562,20.96999931335449,7309.2998046875,0.0008270407625181,0.0008270407625181,0.01265690593612967,0.01968128717606432,0.044996828193500926,66.5489601135254,64.85962007522583,0.02604609827100779,1,0.04208966882462926,0.045400681976103016,0.9270508710840928,20.96999931335449,0.14277923037704676,1.1353076712369192,-0.05831658014223784
2016-01-21,67.9489974975586,20.809999465942383,7276.7998046875,0.002685661326792,0.002685661326792,0.015133867179730531,0.025676192046810042,0.048854672180030256,66.59624008178712,64.88522006988525,0.026369950045002533,1,0.039071238080426327,0.0453747363846697,0.8610601434476475,20.809999465942383,0.11821594752485409,1.070971058928563,-0.0711792629632968
2016-01-22,67.80799865722656,18.81999969482422,7422.4501953125,-0.0020750687357395,-0.0020750687357395,0.007488378050867883,0.02322355143500876,0.048118076776981544,66.6352000427246,64.91168506622314,0.026551690573787035,1,0.04086285980063461,0.045542056916144,0.8972357713245558,18.81999969482422,-0.0308960030439005,0.37245061689805675,-0.046705012494408504
2016-01-25,67.54100036621094,18.270000457763672,7436.14990234375,-0.0039375633598229,-0.0039375633598229,-0.003334926003866534,0.01959458696828431,0.039876277669051996,66.66335998535156,64.93684507369996,0.026587600763358532,1,0.04454525909200817,0.04614816752115951,0.9652451275872757,18.270000457763672,-0.09688577008519239,0.1778980710880316,-0.0546406069574249
2016-01-27,67.7699966430664,19.059999465942383,7437.75,0.000428091255856,0.000428091255856,0.0008713223728271657,0.024427809820322777,0.04271153039349951,66.68939987182617,64.96416505813599,0.026556714954256266,1,0.04364884064619407,0.046153651821273116,0.9457083722615346,19.059999465942383,0.03418335053362287,0.45129406127930555,-0.053847744920161755
